Datum;Tid;Torkel Knutssonsg;Marsta;Norr Malma;Högdalen;Null
21-02-25;00:00;80.5244;89.4375;85.6851;79.6276;
21-02-26;00:00;66.3916;68.3757;71.5458;65.9381;
21-02-27;00:00;64.0256;72.6292;71.5214;64.6295;
21-02-28;00:00;65.0039;69.2889;72.4584;65.3529;
21-03-01;00:00;66.0734;71.8868;71.7598;65.342;
21-03-02;00:00;54.8321;64.5638;62.4252;55.3701;
21-03-03;00:00;76.4001;75.8489;75.5546;76.0841;
21-03-04;00:00;61.464;66.1736;70.3118;62.222;
21-03-05;00:00;57.1704;63.5126;74.759;59.2578;
21-03-06;00:00;;55.3054;61.4587;56.7339;
21-03-07;00:00;;41.5585;56.111;43.9536;
21-03-08;00:00;;45.0959;62.1923;50.0149;
21-03-09;00:00;;77.428;76.9436;72.0292;
21-03-10;00:00;;77.455;81.9005;79.6753;
21-03-11;00:00;;86.2618;84.0446;83.9221;
21-03-12;00:00;;98.0896;96.5459;88.8031;
21-03-13;00:00;80.3015;82.1058;84.5593;80.7076;
21-03-14;00:00;73.6553;78.5798;88.9728;76.5449;
21-03-15;00:00;67.9548;79.3407;89.556;68.849;
21-03-16;00:00;73.3785;78.4117;85.6709;75.1289;
21-03-17;00:00;66.8962;74.4777;84.7543;68.7245;
21-03-18;00:00;69.0387;71.8418;75.7883;67.6659;
21-03-19;00:00;53.224;66.9448;57.1177;53.0454;
21-03-20;00:00;61.9037;66.3805;66.743;61.8217;
21-03-21;00:00;44.8955;43.4811;51.0746;45.9736;
21-03-22;00:00;52.7822;58.4932;68.4597;52.5989;
21-03-23;00:00;52.1548;58.4838;59.5049;53.2632;
21-03-24;00:00;72.6981;74.1898;72.8876;71.2473;
21-03-25;00:00;67.0475;72.5513;69.4821;66.3368;
21-03-26;00:00;74.5494;77.4696;78.7358;75.7883;
21-03-27;00:00;77.1199;76.0919;81.0612;79.2889;
21-03-28;00:00;88.6096;89.6017;89.6084;88.4578;
